MainDrug,NDC,Strength,Formulation,Inactive
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,STRAWBERRY
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,BANANA
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,ANHYDROUS CITRIC ACID
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,METHYLPARABEN
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,PROPYLPARABEN
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,PROPYLENE GLYCOL
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,SACCHARIN SODIUM
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,TRISODIUM CITRATE DIHYDRATE
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,SORBITOL
abacavir sulfate,65862-089,20 mg  in 1 mL, solution,WATER
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,STRAWBERRY
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,BANANA
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,ANHYDROUS CITRIC ACID
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,METHYLPARABEN
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,PROPYLPARABEN
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,PROPYLENE GLYCOL
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,SACCHARIN SODIUM
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,TRISODIUM CITRATE DIHYDRATE
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,SORBITOL
abacavir sulfate,64980-405,20 mg  in 1 mL, solution,WATER
abacavir sulfate,72865-167,300 mg,abacavir tablet,"CELLULOSE, MICROCRYSTALLINE"
abacavir sulfate,72865-167,300 mg,abacavir tablet,SODIUM STARCH GLYCOLATE TYPE A POTATO
abacavir sulfate,72865-167,300 mg,abacavir tablet,SILICON DIOXIDE
abacavir sulfate,72865-167,300 mg,abacavir tablet,MAGNESIUM STEARATE
abacavir sulfate,72865-167,300 mg,abacavir tablet,HYPROMELLOSES
abacavir sulfate,72865-167,300 mg,abacavir tablet,TITANIUM DIOXIDE
abacavir sulfate,72865-167,300 mg,abacavir tablet,TRIACETIN
abacavir sulfate,72865-167,300 mg,abacavir tablet,FERRIC OXIDE YELLOW
abacavir sulfate,72865-167,300 mg,abacavir tablet,POLYSORBATE 80
abacavir sulfate,65862-900,600 mg,"abacavir and lamivudine tablet, film coated",LAMIVUDINE
abacavir sulfate,65862-900,300 mg,"abacavir and lamivudine tablet, film coated",HYPROMELLOSE 2910 (6 MPA.S)
abacavir sulfate,65862-900,300 mg,"abacavir and lamivudine tablet, film coated",MAGNESIUM STEARATE
abacavir sulfate,65862-900,300 mg,"abacavir and lamivudine tablet, film coated",MICROCRYSTALLINE CELLULOSE
abacavir sulfate,65862-900,300 mg,"abacavir and lamivudine tablet, film coated",POLYETHYLENE GLYCOL 400
abacavir sulfate,65862-900,300 mg,"abacavir and lamivudine tablet, film coated",POLYSORBATE 80
