MainDrug,NDC,Strength,Formulation,Inactive
abiraterone acetate,68001-489,250 mg, tablet,SILICON DIOXIDE
abiraterone acetate,68001-489,250 mg, tablet,CROSCARMELLOSE SODIUM
abiraterone acetate,68001-489,250 mg, tablet,LACTOSE MONOHYDRATE
abiraterone acetate,68001-489,250 mg, tablet,MAGNESIUM STEARATE
abiraterone acetate,68001-489,250 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
abiraterone acetate,68001-489,250 mg, tablet,POVIDONE
abiraterone acetate,68001-489,250 mg, tablet,SODIUM LAURYL SULFATE
abiraterone acetate,0143-9597,250 mg, tablet,SILICON DIOXIDE
abiraterone acetate,0143-9597,250 mg, tablet,CROSCARMELLOSE SODIUM
abiraterone acetate,0143-9597,250 mg, tablet,LACTOSE MONOHYDRATE
abiraterone acetate,0143-9597,250 mg, tablet,MAGNESIUM STEARATE
abiraterone acetate,0143-9597,250 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
abiraterone acetate,0143-9597,250 mg, tablet,POVIDONE
abiraterone acetate,0143-9597,250 mg, tablet,SODIUM LAURYL SULFATE
abiraterone acetate,0143-9597,250 mg, tablet,SODIUM STARCH GLYCOLATE TYPE A POTATO
abiraterone acetate,69539-049,250 mg, tablet,SILICON DIOXIDE
abiraterone acetate,69539-049,250 mg, tablet,CROSCARMELLOSE SODIUM
abiraterone acetate,69539-049,250 mg, tablet,LACTOSE MONOHYDRATE
abiraterone acetate,69539-049,250 mg, tablet,MAGNESIUM STEARATE
abiraterone acetate,69539-049,250 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
abiraterone acetate,69539-049,250 mg, tablet,POVIDONE
abiraterone acetate,69539-049,250 mg, tablet,SODIUM LAURYL SULFATE
abiraterone acetate,72205-030,250 mg, tablet,SILICON DIOXIDE
abiraterone acetate,72205-030,250 mg, tablet,CROSCARMELLOSE SODIUM
abiraterone acetate,72205-030,250 mg, tablet,LACTOSE MONOHYDRATE
abiraterone acetate,72205-030,250 mg, tablet,MAGNESIUM STEARATE
abiraterone acetate,72205-030,250 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
abiraterone acetate,72205-030,250 mg, tablet,POVIDONE
abiraterone acetate,72205-030,250 mg, tablet,SODIUM LAURYL SULFATE
abiraterone acetate,69238-1165,250 mg,abiraterone tablet,SILICON DIOXIDE
abiraterone acetate,69238-1165,250 mg,abiraterone tablet,CROSCARMELLOSE SODIUM
abiraterone acetate,69238-1165,250 mg,abiraterone tablet,LACTOSE MONOHYDRATE
abiraterone acetate,69238-1165,250 mg,abiraterone tablet,MAGNESIUM STEARATE
abiraterone acetate,69238-1165,250 mg,abiraterone tablet,POVIDONE
abiraterone acetate,69238-1165,250 mg,abiraterone tablet,SODIUM LAURYL SULFATE
abiraterone acetate,69238-1165,250 mg,abiraterone tablet,"CELLULOSE, MICROCRYSTALLINE"
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,CROSCARMELLOSE SODIUM
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,LACTOSE MONOHYDRATE
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,MAGNESIUM STEARATE
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,POVIDONE
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,SODIUM LAURYL SULFATE
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,FERROSOFERRIC OXIDE
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,FERRIC OXIDE RED
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,"POLYETHYLENE GLYCOL, UNSPECIFIED"
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,"POLYVINYL ALCOHOL, UNSPECIFIED"
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,TALC
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,TITANIUM DIOXIDE
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,SILICON DIOXIDE
abiraterone acetate,69238-1754,500 mg,abiraterone tablet,MICROCRYSTALLINE CELLULOSE
abiraterone acetate,57894-155,250 mg, tablet,lactose monohydrate
abiraterone acetate,57894-155,250 mg, tablet,microcrystalline cellulose
abiraterone acetate,57894-155,250 mg, tablet,croscarmellose sodium
abiraterone acetate,57894-155,250 mg, tablet,"povidone, unspecified"
abiraterone acetate,57894-155,250 mg, tablet,sodium lauryl sulfate
abiraterone acetate,57894-155,250 mg, tablet,magnesium stearate
abiraterone acetate,57894-155,250 mg, tablet,silicon dioxide
abiraterone acetate,57894-199,500 mg," tablet, film coated",microcrystalline cellulose
abiraterone acetate,57894-199,500 mg," tablet, film coated",croscarmellose sodium
abiraterone acetate,57894-199,500 mg," tablet, film coated",Hypromellose 2910 (15 MPA.S)
abiraterone acetate,57894-199,500 mg," tablet, film coated",lactose monohydrate
abiraterone acetate,57894-199,500 mg," tablet, film coated",magnesium stearate
abiraterone acetate,57894-199,500 mg," tablet, film coated",silicon dioxide
abiraterone acetate,57894-199,500 mg," tablet, film coated",sodium lauryl sulfate
abiraterone acetate,57894-199,500 mg," tablet, film coated","polyvinyl alcohol, unspecified"
abiraterone acetate,57894-199,500 mg," tablet, film coated",titanium dioxide
