MainDrug,NDC,Strength,Formulation,Inactive
acarbose,11788-039,25 mg, tablet,"STARCH, CORN"
acarbose,11788-039,25 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,11788-039,25 mg, tablet,MAGNESIUM STEARATE
acarbose,11788-039,25 mg, tablet,SILICON DIOXIDE
acarbose,11788-040,50 mg, tablet,"STARCH, CORN"
acarbose,11788-040,50 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,11788-040,50 mg, tablet,MAGNESIUM STEARATE
acarbose,11788-040,50 mg, tablet,SILICON DIOXIDE
acarbose,11788-041,100 mg, tablet,"STARCH, CORN"
acarbose,11788-041,100 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,11788-041,100 mg, tablet,MAGNESIUM STEARATE
acarbose,11788-041,100 mg, tablet,SILICON DIOXIDE
acarbose,47781-340,25 mg, tablet,"STARCH, CORN"
acarbose,47781-340,25 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,47781-340,25 mg, tablet,MAGNESIUM STEARATE
acarbose,47781-340,25 mg, tablet,SILICON DIOXIDE
acarbose,47781-341,50 mg, tablet,"STARCH, CORN"
acarbose,47781-341,50 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,47781-341,50 mg, tablet,MAGNESIUM STEARATE
acarbose,47781-341,50 mg, tablet,SILICON DIOXIDE
acarbose,47781-342,100 mg, tablet,"STARCH, CORN"
acarbose,47781-342,100 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,47781-342,100 mg, tablet,MAGNESIUM STEARATE
acarbose,47781-342,100 mg, tablet,SILICON DIOXIDE
acarbose,23155-147,25 mg, tablet,"STARCH, CORN"
acarbose,23155-147,25 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acarbose,23155-147,25 mg, tablet,SILICON DIOXIDE
acarbose,23155-147,25 mg, tablet,MAGNESIUM STEARATE
acarbose,23155-148,50 mg, tablet,"STARCH, CORN"
acarbose,23155-148,50 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acarbose,23155-148,50 mg, tablet,SILICON DIOXIDE
acarbose,23155-148,50 mg, tablet,MAGNESIUM STEARATE
acarbose,23155-149,100 mg, tablet,"STARCH, CORN"
acarbose,23155-149,100 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acarbose,23155-149,100 mg, tablet,SILICON DIOXIDE
acarbose,23155-149,100 mg, tablet,MAGNESIUM STEARATE
acarbose,64380-758,25 mg, tablet,"STARCH, CORN"
acarbose,64380-758,25 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acarbose,64380-758,25 mg, tablet,MAGNESIUM STEARATE
acarbose,64380-758,25 mg, tablet,SILICON DIOXIDE
acarbose,64380-759,50 mg, tablet,"STARCH, CORN"
acarbose,64380-759,50 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acarbose,64380-759,50 mg, tablet,MAGNESIUM STEARATE
acarbose,64380-759,50 mg, tablet,SILICON DIOXIDE
acarbose,64380-760,100 mg, tablet,"STARCH, CORN"
acarbose,64380-760,100 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acarbose,64380-760,100 mg, tablet,MAGNESIUM STEARATE
acarbose,64380-760,100 mg, tablet,SILICON DIOXIDE
acarbose,69543-120,25 mg, tablet,"STARCH, CORN"
acarbose,69543-120,25 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,69543-120,25 mg, tablet,MAGNESIUM STEARATE
acarbose,69543-120,25 mg, tablet,SILICON DIOXIDE
acarbose,69543-121,50 mg, tablet,"STARCH, CORN"
acarbose,69543-121,50 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,69543-121,50 mg, tablet,MAGNESIUM STEARATE
acarbose,69543-121,50 mg, tablet,SILICON DIOXIDE
acarbose,69543-122,100 mg, tablet,"STARCH, CORN"
acarbose,69543-122,100 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,69543-122,100 mg, tablet,MAGNESIUM STEARATE
acarbose,69543-122,100 mg, tablet,SILICON DIOXIDE
acarbose,0054-0140,25 mg, tablet,SILICON DIOXIDE
acarbose,0054-0140,25 mg, tablet,"STARCH, CORN"
acarbose,0054-0140,25 mg, tablet,MAGNESIUM STEARATE
acarbose,0054-0140,25 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,0054-0141,50 mg, tablet,SILICON DIOXIDE
acarbose,0054-0141,50 mg, tablet,"STARCH, CORN"
acarbose,0054-0141,50 mg, tablet,MAGNESIUM STEARATE
acarbose,0054-0141,50 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,0054-0142,100 mg, tablet,SILICON DIOXIDE
acarbose,0054-0142,100 mg, tablet,"STARCH, CORN"
acarbose,0054-0142,100 mg, tablet,MAGNESIUM STEARATE
acarbose,0054-0142,100 mg, tablet,MICROCRYSTALLINE CELLULOSE
47781-341,43353-951,50 mg,acarbose tablet,ACARBOSE
47781-341,43353-951,50 mg,acarbose tablet,"STARCH, CORN"
47781-341,43353-951,50 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
47781-341,43353-951,50 mg,acarbose tablet,MAGNESIUM STEARATE
47781-341,43353-951,50 mg,acarbose tablet,SILICON DIOXIDE
47781-341,50090-4115,50 mg,acarbose tablet,ACARBOSE
47781-341,50090-4115,50 mg,acarbose tablet,"STARCH, CORN"
47781-341,50090-4115,50 mg,acarbose tablet,MICROCRYSTALLINE CELLULOSE
47781-341,50090-4115,50 mg,acarbose tablet,MAGNESIUM STEARATE
47781-341,50090-4115,50 mg,acarbose tablet,SILICON DIOXIDE
47781-342,50090-4116,100 mg,acarbose tablet,ACARBOSE
47781-342,50090-4116,100 mg,acarbose tablet,"STARCH, CORN"
47781-342,50090-4116,100 mg,acarbose tablet,MICROCRYSTALLINE CELLULOSE
47781-342,50090-4116,100 mg,acarbose tablet,MAGNESIUM STEARATE
47781-342,50090-4116,100 mg,acarbose tablet,SILICON DIOXIDE
64380-759,50090-4952,50 mg,acarbose tablet,ACARBOSE
64380-759,50090-4952,50 mg,acarbose tablet,"STARCH, CORN"
64380-759,50090-4952,50 mg,acarbose tablet,MICROCRYSTALLINE CELLULOSE
64380-759,50090-4952,50 mg,acarbose tablet,MAGNESIUM STEARATE
64380-759,50090-4952,50 mg,acarbose tablet,SILICON DIOXIDE
69543-122,50090-5088,100 mg,acarbose tablet,ACARBOSE
69543-122,50090-5088,100 mg,acarbose tablet,"STARCH, CORN"
69543-122,50090-5088,100 mg,acarbose tablet,MICROCRYSTALLINE CELLULOSE
69543-122,50090-5088,100 mg,acarbose tablet,MAGNESIUM STEARATE
69543-122,50090-5088,100 mg,acarbose tablet,SILICON DIOXIDE
69543-120,42291-130,25 mg,acarbose tablet,ACARBOSE
69543-120,42291-130,25 mg,acarbose tablet,"STARCH, CORN"
69543-120,42291-130,25 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
69543-120,42291-130,25 mg,acarbose tablet,MAGNESIUM STEARATE
69543-120,42291-130,25 mg,acarbose tablet,SILICON DIOXIDE
69543-120,69543-121,25 mg,acarbose tablet,ACARBOSE
69543-120,69543-121,50 mg,acarbose tablet,"STARCH, CORN"
69543-120,69543-121,50 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
69543-120,69543-121,50 mg,acarbose tablet,MAGNESIUM STEARATE
69543-120,69543-121,50 mg,acarbose tablet,SILICON DIOXIDE
69543-120,69543-122,50 mg,acarbose tablet,ACARBOSE
69543-120,69543-122,100 mg,acarbose tablet,"STARCH, CORN"
69543-120,69543-122,100 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
69543-120,69543-122,100 mg,acarbose tablet,MAGNESIUM STEARATE
69543-120,69543-122,100 mg,acarbose tablet,SILICON DIOXIDE
69543-121,71335-1583,50 mg,acarbose tablet,ACARBOSE
69543-121,71335-1583,50 mg,acarbose tablet,"STARCH, CORN"
69543-121,71335-1583,50 mg,acarbose tablet,MICROCRYSTALLINE CELLULOSE
69543-121,71335-1583,50 mg,acarbose tablet,MAGNESIUM STEARATE
69543-121,71335-1583,50 mg,acarbose tablet,SILICON DIOXIDE
64380-758,63629-5697,25 mg,acarbose tablet,ACARBOSE
64380-758,63629-5697,25 mg,acarbose tablet,"STARCH, CORN"
64380-758,63629-5697,25 mg,acarbose tablet,MICROCRYSTALLINE CELLULOSE
64380-758,63629-5697,25 mg,acarbose tablet,MAGNESIUM STEARATE
64380-758,63629-5697,25 mg,acarbose tablet,SILICON DIOXIDE
64380-758,64380-759,25 mg,acarbose tablet,ACARBOSE
64380-758,64380-759,50 mg,acarbose tablet,"STARCH, CORN"
64380-758,64380-759,50 mg,acarbose tablet,MICROCRYSTALLINE CELLULOSE
64380-758,64380-759,50 mg,acarbose tablet,MAGNESIUM STEARATE
64380-758,64380-759,50 mg,acarbose tablet,SILICON DIOXIDE
64380-759,68151-0537,50 mg,acarbose tablet,ACARBOSE
64380-759,68151-0537,50 mg,acarbose tablet,"STARCH, CORN"
64380-759,68151-0537,50 mg,acarbose tablet,MICROCRYSTALLINE CELLULOSE
64380-759,68151-0537,50 mg,acarbose tablet,MAGNESIUM STEARATE
64380-759,68151-0537,50 mg,acarbose tablet,SILICON DIOXIDE
0054-0140,72789-131,25 mg,acarbose tablet,ACARBOSE
0054-0140,72789-131,25 mg,acarbose tablet,SILICON DIOXIDE
0054-0140,72789-131,25 mg,acarbose tablet,"STARCH, CORN"
0054-0140,72789-131,25 mg,acarbose tablet,MAGNESIUM STEARATE
0054-0140,72789-131,25 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
0054-0140,0054-0141,25 mg,acarbose tablet,ACARBOSE
0054-0140,0054-0141,50 mg,acarbose tablet,SILICON DIOXIDE
0054-0140,0054-0141,50 mg,acarbose tablet,"STARCH, CORN"
0054-0140,0054-0141,50 mg,acarbose tablet,MAGNESIUM STEARATE
0054-0140,0054-0141,50 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
0054-0140,0054-0142,50 mg,acarbose tablet,ACARBOSE
0054-0140,0054-0142,100 mg,acarbose tablet,SILICON DIOXIDE
0054-0140,0054-0142,100 mg,acarbose tablet,"STARCH, CORN"
0054-0140,0054-0142,100 mg,acarbose tablet,MAGNESIUM STEARATE
0054-0140,0054-0142,100 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
0054-0140,54868-5945,25 mg,acarbose tablet,ACARBOSE
0054-0140,54868-5945,25 mg,acarbose tablet,SILICON DIOXIDE
0054-0140,54868-5945,25 mg,acarbose tablet,"STARCH, CORN"
0054-0140,54868-5945,25 mg,acarbose tablet,MAGNESIUM STEARATE
0054-0140,54868-5945,25 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
acarbose,50419-863,25 mg, tablet,"STARCH, CORN"
acarbose,50419-863,25 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,50419-863,25 mg, tablet,MAGNESIUM STEARATE
acarbose,50419-863,25 mg, tablet,SILICON DIOXIDE
acarbose,50419-861,50 mg, tablet,"STARCH, CORN"
acarbose,50419-861,50 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,50419-861,50 mg, tablet,MAGNESIUM STEARATE
acarbose,50419-861,50 mg, tablet,SILICON DIOXIDE
acarbose,50419-862,100 mg, tablet,"STARCH, CORN"
acarbose,50419-862,100 mg, tablet,MICROCRYSTALLINE CELLULOSE
acarbose,50419-862,100 mg, tablet,MAGNESIUM STEARATE
acarbose,50419-862,100 mg, tablet,SILICON DIOXIDE
50419-861,43353-908,50 mg,acarbose tablet,ACARBOSE
50419-861,43353-908,50 mg,acarbose tablet,"STARCH, CORN"
50419-861,43353-908,50 mg,acarbose tablet,"CELLULOSE, MICROCRYSTALLINE"
50419-861,43353-908,50 mg,acarbose tablet,MAGNESIUM STEARATE
50419-861,43353-908,50 mg,acarbose tablet,SILICON DIOXIDE
