MainDrug,NDC,Strength,Formulation,Inactive
acetazolamide sodium,67457-853,500 mg  in 5 mL," injection, powder, lyophilized, for solution",sodium hydroxide
acetazolamide sodium,67457-853,500 mg  in 5 mL," injection, powder, lyophilized, for solution",hydrochloric acid
acetazolamide,65841-762,500 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acetazolamide,65841-762,500 mg, capsule,FERRIC OXIDE YELLOW
acetazolamide,65841-762,500 mg, capsule,GELATIN
acetazolamide,65841-762,500 mg, capsule,SODIUM LAURYL SULFATE
acetazolamide,65841-762,500 mg, capsule,TALC
acetazolamide,65841-762,500 mg, capsule,TITANIUM DIOXIDE
acetazolamide,16729-331,500 mg," capsule, extended release",ETHYL ACRYLATE
acetazolamide,16729-331,500 mg," capsule, extended release",METHACRYLATE/METHOXY PEG-10 MALEATE/STYRENE COPOLYMER
acetazolamide,16729-331,500 mg," capsule, extended release","CELLULOSE, MICROCRYSTALLINE"
acetazolamide,16729-331,500 mg," capsule, extended release",TALC
acetazolamide,16729-331,500 mg," capsule, extended release",SODIUM LAURYL SULFATE
acetazolamide,16729-331,500 mg," capsule, extended release",FD&amp;C BLUE NO. 1
acetazolamide,16729-331,500 mg," capsule, extended release",FD&amp;C YELLOW NO. 6
acetazolamide,16729-331,500 mg," capsule, extended release",GELATIN
acetazolamide,16729-331,500 mg," capsule, extended release",FERRIC OXIDE YELLOW
acetazolamide,16729-331,500 mg," capsule, extended release",TITANIUM DIOXIDE
acetazolamide,16729-331,500 mg," capsule, extended release",SHELLAC
acetazolamide,16729-331,500 mg," capsule, extended release",FERROSOFERRIC OXIDE
acetazolamide,16729-331,500 mg," capsule, extended release",POTASSIUM HYDROXIDE
acetazolamide,62332-349,500 mg," capsule, extended release",MICROCRYSTALLINE CELLULOSE
acetazolamide,62332-349,500 mg," capsule, extended release",SODIUM LAURYL SULFATE
acetazolamide,62332-349,500 mg," capsule, extended release",TALC
acetazolamide,62332-349,500 mg," capsule, extended release",D&amp;C RED NO. 28
acetazolamide,62332-349,500 mg," capsule, extended release",D&amp;C YELLOW NO. 10
acetazolamide,62332-349,500 mg," capsule, extended release",FD&amp;C RED NO. 40
acetazolamide,62332-349,500 mg," capsule, extended release","GELATIN, UNSPECIFIED"
acetazolamide,62332-349,500 mg," capsule, extended release",TITANIUM DIOXIDE
acetazolamide,62332-349,500 mg," capsule, extended release",SHELLAC
acetazolamide,62332-349,500 mg," capsule, extended release",PROPYLENE GLYCOL
acetazolamide,62332-349,500 mg," capsule, extended release",POTASSIUM HYDROXIDE
acetazolamide,62332-349,500 mg," capsule, extended release",FERROSOFERRIC OXIDE
acetazolamide,46708-349,500 mg," capsule, extended release",MICROCRYSTALLINE CELLULOSE
acetazolamide,46708-349,500 mg," capsule, extended release",SODIUM LAURYL SULFATE
acetazolamide,46708-349,500 mg," capsule, extended release",TALC
acetazolamide,46708-349,500 mg," capsule, extended release",D&amp;C RED NO. 28
acetazolamide,46708-349,500 mg," capsule, extended release",D&amp;C YELLOW NO. 10
acetazolamide,46708-349,500 mg," capsule, extended release",FD&amp;C RED NO. 40
acetazolamide,46708-349,500 mg," capsule, extended release","GELATIN, UNSPECIFIED"
acetazolamide,46708-349,500 mg," capsule, extended release",TITANIUM DIOXIDE
acetazolamide,46708-349,500 mg," capsule, extended release",SHELLAC
acetazolamide,46708-349,500 mg," capsule, extended release",PROPYLENE GLYCOL
acetazolamide,46708-349,500 mg," capsule, extended release",POTASSIUM HYDROXIDE
acetazolamide,46708-349,500 mg," capsule, extended release",FERROSOFERRIC OXIDE
acetazolamide,23155-120,500 mg," capsule, extended release",MICROCRYSTALLINE CELLULOSE
acetazolamide,23155-120,500 mg," capsule, extended release",SODIUM LAURYL SULFATE
acetazolamide,23155-120,500 mg," capsule, extended release",HYDROXYPROPYL CELLULOSE (1600000 WAMW)
acetazolamide,23155-120,500 mg," capsule, extended release",FD&amp;C GREEN NO. 3
acetazolamide,23155-120,500 mg," capsule, extended release",FERROSOFERRIC OXIDE
acetazolamide,23155-120,500 mg," capsule, extended release",TITANIUM DIOXIDE
acetazolamide,23155-120,500 mg," capsule, extended release","GELATIN, UNSPECIFIED"
acetazolamide,23155-120,500 mg," capsule, extended release",SHELLAC
acetazolamide,23155-120,500 mg," capsule, extended release",PROPYLENE GLYCOL
acetazolamide,23155-120,500 mg," capsule, extended release",POTASSIUM HYDROXIDE
acetazolamide,23155-120,500 mg," capsule, extended release",TALC
acetazolamide,23155-120,500 mg," capsule, extended release",FERRIC OXIDE YELLOW
acetazolamide,23155-787,500 mg," capsule, extended release",AMMONIO METHACRYLATE COPOLYMER TYPE A
acetazolamide,23155-787,500 mg," capsule, extended release",AMMONIO METHACRYLATE COPOLYMER TYPE B
acetazolamide,23155-787,500 mg," capsule, extended release",FD&amp;C YELLOW NO. 6
acetazolamide,23155-787,500 mg," capsule, extended release",GELATIN
acetazolamide,23155-787,500 mg," capsule, extended release","CELLULOSE, MICROCRYSTALLINE"
acetazolamide,23155-787,500 mg," capsule, extended release",SODIUM LAURYL SULFATE
acetazolamide,23155-787,500 mg," capsule, extended release",TALC
acetazolamide,23155-787,500 mg," capsule, extended release",TITANIUM DIOXIDE
acetazolamide,23155-787,500 mg," capsule, extended release",FERROSOFERRIC OXIDE
acetazolamide,50742-233,500 mg," capsule, extended release","CELLULOSE, MICROCRYSTALLINE"
acetazolamide,50742-233,500 mg," capsule, extended release",HYDROXYPROPYL CELLULOSE
acetazolamide,50742-233,500 mg," capsule, extended release","STARCH, PREGELATINIZED CORN"
acetazolamide,50742-233,500 mg," capsule, extended release",TALC
acetazolamide,50742-233,500 mg," capsule, extended release",GELATIN
acetazolamide,50742-233,500 mg," capsule, extended release",SODIUM LAURYL SULFATE
acetazolamide,50742-233,500 mg," capsule, extended release",TITANIUM DIOXIDE
acetazolamide,50742-233,500 mg," capsule, extended release",SHELLAC
acetazolamide,50742-233,500 mg," capsule, extended release",POTASSIUM HYDROXIDE
acetazolamide,50742-233,500 mg," capsule, extended release",FERROSOFERRIC OXIDE
acetazolamide,29033-030,500 mg," capsule, extended release",FERRIC OXIDE YELLOW
acetazolamide,29033-030,500 mg," capsule, extended release",FERROSOFERRIC OXIDE
acetazolamide,29033-030,500 mg," capsule, extended release",D&amp;C YELLOW NO. 10
acetazolamide,29033-030,500 mg," capsule, extended release",FD&amp;C BLUE NO. 1
acetazolamide,29033-030,500 mg," capsule, extended release",FD&amp;C BLUE NO. 2
acetazolamide,29033-030,500 mg," capsule, extended release",FD&amp;C RED NO. 40
acetazolamide,29033-030,500 mg," capsule, extended release",GELATIN
acetazolamide,29033-030,500 mg," capsule, extended release",SHELLAC
acetazolamide,29033-030,500 mg," capsule, extended release",TITANIUM DIOXIDE
acetazolamide,29033-030,500 mg," capsule, extended release","CELLULOSE, MICROCRYSTALLINE"
