MainDrug,NDC,Strength,Formulation,Inactive
acetic acid,0338-0656,250 mg  in 100 mL, irrigant,WATER
acetic acid,0264-2304,0.25 g  in 100 mL, irrigant,WATER
acetic acid,0409-6143,250 mg  in 100 mL, irrigant,WATER
acetic acid,0990-6143,250 mg  in 100 mL, irrigant,WATER
acetic acid,50383-889,20.65 mg  in 1 mL, solution,PROPYLENE GLYCOL
acetic acid,50383-889,20.65 mg  in 1 mL, solution,BENZETHONIUM CHLORIDE
acetic acid,50383-889,20.65 mg  in 1 mL, solution,PROPYLENE GLYCOL DIACETATE
acetic acid,50383-889,20.65 mg  in 1 mL, solution,SODIUM ACETATE
acetic acid,60432-741,20 mg  in 1 mL, solution,PROPYLENE GLYCOL
acetic acid,60432-741,20 mg  in 1 mL, solution,PROPYLENE GLYCOL DIACETATE
acetic acid,60432-741,20 mg  in 1 mL, solution,BENZETHONIUM CHLORIDE
acetic acid,60432-741,20 mg  in 1 mL, solution,SODIUM ACETATE
acetic acid,60432-741,20 mg  in 1 mL, solution,ANHYDROUS CITRIC ACID
acetic acid,64980-424,20 mg  in 1 mL, solution,PROPYLENE GLYCOL DIACETATE
acetic acid,64980-424,20 mg  in 1 mL, solution,BENZETHONIUM CHLORIDE
acetic acid,64980-424,20 mg  in 1 mL, solution,SODIUM ACETATE
acetic acid,64980-424,20 mg  in 1 mL, solution,ANHYDROUS CITRIC ACID
acetic acid,64980-424,20 mg  in 1 mL, solution,PROPYLENE GLYCOL
acetic acid,52817-816,20.65 mg  in 1 mL, solution,PROPYLENE GLYCOL
acetic acid,52817-816,20.65 mg  in 1 mL, solution,BENZETHONIUM CHLORIDE
acetic acid,52817-816,20.65 mg  in 1 mL, solution,PROPYLENE GLYCOL DIACETATE
acetic acid,52817-816,20.65 mg  in 1 mL, solution,SODIUM ACETATE
acetic acid,52817-816,20.65 mg  in 1 mL, solution,ANHYDROUS CITRIC ACID
acetic acid,50383-901,20.75 mg  in 1 mL,hydrocortisone and  solution,HYDROCORTISONE
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,ANHYDROUS CITRIC ACID
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,BENZETHONIUM CHLORIDE
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,PROPYLENE GLYCOL
acetic acid,50383-901,10.375 mg  in 1 mL,hydrocortisone and  solution,PROPYLENE GLYCOL DIACETATE
