MainDrug,NDC,Strength,Formulation,Inactive
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated","STARCH, CORN"
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",D&amp;C YELLOW NO. 10
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",FD&amp;C YELLOW NO. 6
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated","HYPROMELLOSE, UNSPECIFIED"
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",METHACRYLIC ACID
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",MICROCRYSTALLINE CELLULOSE
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",POLYDEXTROSE
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated","POLYETHYLENE GLYCOL, UNSPECIFIED"
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",SHELLAC
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",SILICON DIOXIDE
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",DIMETHICONE
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",WATER
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",SODIUM BICARBONATE
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",SODIUM LAURYL SULFATE
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",TALC
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",TITANIUM DIOXIDE
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",TRIACETIN
aspirin,60503-601,81 mg,"acetylsalicylic acid tablet, coated",TRIETHYL CITRATE
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,PROPYLENE GLYCOL
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,ALOE
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,SORBIC ACID
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,MENTHOL
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,"LACTOFERRIN, BOVINE"
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,LYSOZYME
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,SODIUM CHLORIDE
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,WATER
aspirin,73678-160,6 mg  in 0.1 mL,acetylsalicylic acid spray,ALCOHOL
aspirin,73678-260,6 mg,"acetylsalicylic acid, menthol lozenge",MENTHOL
aspirin,73678-260,5 mg,"acetylsalicylic acid, menthol lozenge",ISOMALT
aspirin,73678-260,5 mg,"acetylsalicylic acid, menthol lozenge",HONEY
aspirin,73678-260,5 mg,"acetylsalicylic acid, menthol lozenge","LACTOFERRIN, BOVINE"
aspirin,73678-260,5 mg,"acetylsalicylic acid, menthol lozenge",LYSOZYME
aspirin,73678-260,5 mg,"acetylsalicylic acid, menthol lozenge",ALOE
aspirin,73678-260,5 mg,"acetylsalicylic acid, menthol lozenge",SODIUM CHLORIDE
aspirin,73678-260,5 mg,"acetylsalicylic acid, menthol lozenge",WATER
aspirin,73678-260,5 mg,"acetylsalicylic acid, menthol lozenge",STEVIA REBAUDIANA WHOLE
aspirin,73678-360,6 mg,"acetylsalicylic acid, menthol lozenge",MENTHOL
aspirin,73678-360,5 mg,"acetylsalicylic acid, menthol lozenge",ISOMALT
aspirin,73678-360,5 mg,"acetylsalicylic acid, menthol lozenge",HONEY
aspirin,73678-360,5 mg,"acetylsalicylic acid, menthol lozenge","LACTOFERRIN, BOVINE"
aspirin,73678-360,5 mg,"acetylsalicylic acid, menthol lozenge",LYSOZYME
aspirin,73678-360,5 mg,"acetylsalicylic acid, menthol lozenge",ALOE
aspirin,73678-360,5 mg,"acetylsalicylic acid, menthol lozenge",SODIUM CHLORIDE
aspirin,73678-360,5 mg,"acetylsalicylic acid, menthol lozenge",WATER
aspirin,73678-360,5 mg,"acetylsalicylic acid, menthol lozenge",STEVIA REBAUDIANA WHOLE
aspirin,73678-460,6 mg,"acetylsalicylic acid, menthol lozenge",MENTHOL
aspirin,73678-460,5 mg,"acetylsalicylic acid, menthol lozenge",ISOMALT
aspirin,73678-460,5 mg,"acetylsalicylic acid, menthol lozenge",HONEY
aspirin,73678-460,5 mg,"acetylsalicylic acid, menthol lozenge","LACTOFERRIN, BOVINE"
aspirin,73678-460,5 mg,"acetylsalicylic acid, menthol lozenge",LYSOZYME
aspirin,73678-460,5 mg,"acetylsalicylic acid, menthol lozenge",ALOE
aspirin,73678-460,5 mg,"acetylsalicylic acid, menthol lozenge",SODIUM CHLORIDE
aspirin,73678-460,5 mg,"acetylsalicylic acid, menthol lozenge",WATER
aspirin,73678-460,5 mg,"acetylsalicylic acid, menthol lozenge",STEVIA REBAUDIANA WHOLE
aspirin,27102-130,300 mg,"acetylsalicylic acid tablet, chewable",CALCIUM CARBONATE
aspirin,27102-130,300 mg,"acetylsalicylic acid tablet, chewable",BARLEY MALT SYRUP
