MainDrug,NDC,Strength,Formulation,Inactive
acitretin,0115-1750,10 mg, capsule,MALTODEXTRIN
acitretin,0115-1750,10 mg, capsule,SODIUM ASCORBATE
acitretin,0115-1750,10 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,0115-1750,10 mg, capsule,GELATIN
acitretin,0115-1750,10 mg, capsule,SODIUM LAURYL SULFATE
acitretin,0115-1750,10 mg, capsule,TITANIUM DIOXIDE
acitretin,0115-1750,10 mg, capsule,FERRIC OXIDE RED
acitretin,0115-1750,10 mg, capsule,SHELLAC
acitretin,0115-1750,10 mg, capsule,FERROSOFERRIC OXIDE
acitretin,0115-1750,10 mg, capsule,PROPYLENE GLYCOL
acitretin,0115-1751,17.5 mg, capsule,MALTODEXTRIN
acitretin,0115-1751,17.5 mg, capsule,SODIUM ASCORBATE
acitretin,0115-1751,17.5 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,0115-1751,17.5 mg, capsule,GELATIN
acitretin,0115-1751,17.5 mg, capsule,SODIUM LAURYL SULFATE
acitretin,0115-1751,17.5 mg, capsule,TITANIUM DIOXIDE
acitretin,0115-1751,17.5 mg, capsule,FERRIC OXIDE YELLOW
acitretin,0115-1751,17.5 mg, capsule,SHELLAC
acitretin,0115-1751,17.5 mg, capsule,FERROSOFERRIC OXIDE
acitretin,0115-1751,17.5 mg, capsule,PROPYLENE GLYCOL
acitretin,0115-1752,22.5 mg, capsule,MALTODEXTRIN
acitretin,0115-1752,22.5 mg, capsule,SODIUM ASCORBATE
acitretin,0115-1752,22.5 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,0115-1752,22.5 mg, capsule,GELATIN
acitretin,0115-1752,22.5 mg, capsule,FERRIC OXIDE RED
acitretin,0115-1752,22.5 mg, capsule,SHELLAC
acitretin,0115-1752,22.5 mg, capsule,FERROSOFERRIC OXIDE
acitretin,0115-1752,22.5 mg, capsule,PROPYLENE GLYCOL
acitretin,0115-1753,25 mg, capsule,MALTODEXTRIN
acitretin,0115-1753,25 mg, capsule,SODIUM ASCORBATE
acitretin,0115-1753,25 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,0115-1753,25 mg, capsule,GELATIN
acitretin,0115-1753,25 mg, capsule,SODIUM LAURYL SULFATE
acitretin,0115-1753,25 mg, capsule,TITANIUM DIOXIDE
acitretin,0115-1753,25 mg, capsule,FERRIC OXIDE RED
acitretin,0115-1753,25 mg, capsule,FERRIC OXIDE YELLOW
acitretin,0115-1753,25 mg, capsule,SHELLAC
acitretin,0115-1753,25 mg, capsule,FERROSOFERRIC OXIDE
acitretin,0115-1753,25 mg, capsule,PROPYLENE GLYCOL
acitretin,0115-1667,10 mg, capsule,MALTODEXTRIN
acitretin,0115-1667,10 mg, capsule,SODIUM ASCORBATE
acitretin,0115-1667,10 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,0115-1667,10 mg, capsule,GELATIN
acitretin,0115-1667,10 mg, capsule,SODIUM LAURYL SULFATE
acitretin,0115-1667,10 mg, capsule,TITANIUM DIOXIDE
acitretin,0115-1667,10 mg, capsule,FERRIC OXIDE RED
acitretin,0115-1667,10 mg, capsule,SHELLAC
acitretin,0115-1667,10 mg, capsule,FERROSOFERRIC OXIDE
acitretin,0115-1667,10 mg, capsule,PROPYLENE GLYCOL
acitretin,0115-1668,17.5 mg, capsule,MALTODEXTRIN
acitretin,0115-1668,17.5 mg, capsule,SODIUM ASCORBATE
acitretin,0115-1668,17.5 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,0115-1668,17.5 mg, capsule,GELATIN
acitretin,0115-1668,17.5 mg, capsule,SODIUM LAURYL SULFATE
acitretin,0115-1668,17.5 mg, capsule,TITANIUM DIOXIDE
acitretin,0115-1668,17.5 mg, capsule,FERRIC OXIDE YELLOW
acitretin,0115-1668,17.5 mg, capsule,SHELLAC
acitretin,0115-1668,17.5 mg, capsule,FERROSOFERRIC OXIDE
acitretin,0115-1668,17.5 mg, capsule,PROPYLENE GLYCOL
acitretin,0115-1698,22.5 mg, capsule,MALTODEXTRIN
acitretin,0115-1698,22.5 mg, capsule,SODIUM ASCORBATE
acitretin,0115-1698,22.5 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,0115-1698,22.5 mg, capsule,GELATIN
acitretin,0115-1698,22.5 mg, capsule,FERRIC OXIDE RED
acitretin,0115-1698,22.5 mg, capsule,SHELLAC
acitretin,0115-1698,22.5 mg, capsule,FERROSOFERRIC OXIDE
acitretin,0115-1698,22.5 mg, capsule,PROPYLENE GLYCOL
acitretin,0115-1669,25 mg, capsule,MALTODEXTRIN
acitretin,0115-1669,25 mg, capsule,SODIUM ASCORBATE
acitretin,0115-1669,25 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,0115-1669,25 mg, capsule,GELATIN
acitretin,0115-1669,25 mg, capsule,SODIUM LAURYL SULFATE
acitretin,0115-1669,25 mg, capsule,TITANIUM DIOXIDE
acitretin,0115-1669,25 mg, capsule,FERRIC OXIDE RED
acitretin,0115-1669,25 mg, capsule,FERRIC OXIDE YELLOW
acitretin,0115-1669,25 mg, capsule,SHELLAC
acitretin,0115-1669,25 mg, capsule,FERROSOFERRIC OXIDE
acitretin,0115-1669,25 mg, capsule,PROPYLENE GLYCOL
acitretin,42291-086,10 mg, capsule,SODIUM ASCORBATE
acitretin,42291-086,10 mg, capsule,MALTODEXTRIN
acitretin,42291-086,10 mg, capsule,SODIUM LAURYL SULFATE
acitretin,42291-086,10 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,42291-086,10 mg, capsule,GELATIN
acitretin,42291-086,10 mg, capsule,FERRIC OXIDE YELLOW
acitretin,42291-086,10 mg, capsule,TITANIUM DIOXIDE
acitretin,42291-086,10 mg, capsule,POVIDONE
acitretin,42291-087,17.5 mg, capsule,SODIUM ASCORBATE
acitretin,42291-087,17.5 mg, capsule,MALTODEXTRIN
acitretin,42291-087,17.5 mg, capsule,SODIUM LAURYL SULFATE
acitretin,42291-087,17.5 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,42291-087,17.5 mg, capsule,GELATIN
acitretin,42291-087,17.5 mg, capsule,FERRIC OXIDE RED
acitretin,42291-087,17.5 mg, capsule,FERRIC OXIDE YELLOW
acitretin,42291-087,17.5 mg, capsule,TITANIUM DIOXIDE
acitretin,42291-087,17.5 mg, capsule,POVIDONE
acitretin,42291-088,25 mg, capsule,SODIUM ASCORBATE
acitretin,42291-088,25 mg, capsule,MALTODEXTRIN
acitretin,42291-088,25 mg, capsule,SODIUM LAURYL SULFATE
acitretin,42291-088,25 mg, capsule,"CELLULOSE, MICROCRYSTALLINE"
acitretin,42291-088,25 mg, capsule,GELATIN
acitretin,42291-088,25 mg, capsule,FERRIC OXIDE YELLOW
acitretin,42291-088,25 mg, capsule,TITANIUM DIOXIDE
acitretin,42291-088,25 mg, capsule,POVIDONE
acitretin,0378-7020,10 mg, capsule,EDETATE DISODIUM
