MainDrug,NDC,Strength,Formulation,Inactive
risedronate sodium hemi-pentahydrate,0430-0471,4.3 mg,"risedronate sodium tablet, film coated",RISEDRONATE SODIUM MONOHYDRATE
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated",CROSPOVIDONE
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated",HYDROXYPROPYL CELLULOSE (1600000 WAMW)
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated",HYPROMELLOSES
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated",MAGNESIUM STEARATE
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated","CELLULOSE, MICROCRYSTALLINE"
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated","POLYETHYLENE GLYCOL, UNSPECIFIED"
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated",SILICON DIOXIDE
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated",TITANIUM DIOXIDE
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated",FERRIC OXIDE YELLOW
risedronate sodium hemi-pentahydrate,0430-0471,0.7 mg,"risedronate sodium tablet, film coated",LACTOSE MONOHYDRATE
risedronate sodium hemi-pentahydrate,0430-0470,0.7 mg,"risedronate sodium tablet, film coated",RISEDRONATE SODIUM MONOHYDRATE
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated",CROSPOVIDONE
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated",HYDROXYPROPYL CELLULOSE (1600000 WAMW)
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated",HYPROMELLOSES
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated",MAGNESIUM STEARATE
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated","CELLULOSE, MICROCRYSTALLINE"
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated","POLYETHYLENE GLYCOL, UNSPECIFIED"
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated",SILICON DIOXIDE
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated",TITANIUM DIOXIDE
risedronate sodium hemi-pentahydrate,0430-0470,4.2 mg,"risedronate sodium tablet, film coated",LACTOSE MONOHYDRATE
risedronate sodium hemi-pentahydrate,0430-0472,4.2 mg,"risedronate sodium tablet, film coated",RISEDRONATE SODIUM MONOHYDRATE
risedronate sodium hemi-pentahydrate,0430-0472,4.9 mg,"risedronate sodium tablet, film coated",CROSPOVIDONE
risedronate sodium hemi-pentahydrate,0430-0472,4.9 mg,"risedronate sodium tablet, film coated",HYDROXYPROPYL CELLULOSE (1600000 WAMW)
risedronate sodium hemi-pentahydrate,0430-0472,4.9 mg,"risedronate sodium tablet, film coated",HYPROMELLOSES
risedronate sodium hemi-pentahydrate,0430-0472,4.9 mg,"risedronate sodium tablet, film coated",MAGNESIUM STEARATE
