MainDrug,NDC,Strength,Formulation,Inactive
acyclovir,0713-0630,50 mg  in 1 g, ointment,"POLYETHYLENE GLYCOL, UNSPECIFIED"
acyclovir,31722-777,400 mg, tablet,SILICON DIOXIDE
acyclovir,31722-777,400 mg, tablet,FERRIC OXIDE RED
acyclovir,31722-777,400 mg, tablet,MAGNESIUM STEARATE
acyclovir,31722-777,400 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acyclovir,31722-777,400 mg, tablet,POVIDONE
acyclovir,31722-777,400 mg, tablet,SODIUM STARCH GLYCOLATE TYPE A POTATO
acyclovir,31722-778,800 mg, tablet,SILICON DIOXIDE
acyclovir,31722-778,800 mg, tablet,FD&amp;C BLUE NO. 2
acyclovir,31722-778,800 mg, tablet,MAGNESIUM STEARATE
acyclovir,31722-778,800 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acyclovir,31722-778,800 mg, tablet,POVIDONE
acyclovir,31722-778,800 mg, tablet,SODIUM STARCH GLYCOLATE TYPE A POTATO
acyclovir,63304-652,200 mg, capsule,LACTOSE MONOHYDRATE
acyclovir,63304-652,200 mg, capsule,MAGNESIUM STEARATE
acyclovir,63304-652,200 mg, capsule,"STARCH, CORN"
acyclovir,63304-652,200 mg, capsule,GELATIN
acyclovir,63304-652,200 mg, capsule,TITANIUM DIOXIDE
acyclovir,63304-652,200 mg, capsule,FERROSOFERRIC OXIDE
acyclovir,63304-652,200 mg, capsule,PROPYLENE GLYCOL
acyclovir,63304-504,400.00 mg, tablet,SILICON DIOXIDE
acyclovir,63304-504,400.00 mg, tablet,MAGNESIUM STEARATE
acyclovir,63304-504,400.00 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acyclovir,63304-504,400.00 mg, tablet,"STARCH, CORN"
acyclovir,63304-504,400.00 mg, tablet,SODIUM STARCH GLYCOLATE TYPE A CORN
acyclovir,63304-505,800.00 mg, tablet,SILICON DIOXIDE
acyclovir,63304-505,800.00 mg, tablet,MAGNESIUM STEARATE
acyclovir,63304-505,800.00 mg, tablet,"CELLULOSE, MICROCRYSTALLINE"
acyclovir,63304-505,800.00 mg, tablet,"STARCH, CORN"
acyclovir,63304-505,800.00 mg, tablet,SODIUM STARCH GLYCOLATE TYPE A CORN
acyclovir,60505-0042,200 mg, capsule,SILICON DIOXIDE
